transaction_id,date,product,region,quantity,unit_price
47894081-daec-48cf-a381-c625b4dc01e5,2024-05-01,,South,-1,999.99
af84f925-b2b7-4ca3-b95e-fb9ff692dd19,2024-11-27,Laptop,North,2,999.99
24687f20-968f-4547-b4c1-741c578a5e33,2024-07-05,Keyboard,East,2,79.99
522453b4-1d41-4e1a-8124-ba283ff3f363,2024-02-24,Headset,West,3,89.99
f5ea239b-d4c3-4e74-ac0e-5afdb4296237,2024-07-15,Monitor,South,5,349.99
b8a0a693-a10c-4c47-a9e6-843ad1e5612e,2024-05-05,Mouse,West,3,29.99
ccbc9012-d9a4-467d-bc8d-a34eda016461,2024-05-03,Laptop,East,2,999.99
bf12ffd3-b51e-42a1-99c6-de80e4d3825f,2024-06-05,Laptop,West,5,999.99
74b79a9c-3d80-410f-9502-62778ea47e3b,2024-07-22,Mouse,East,5,29.99
863912f3-c812-4578-a20d-f7899f273f11,2024-03-03,Laptop,North,1,999.99
d52141a8-11e1-4b2d-bffe-fe45629aac88,2024-04-15,Headset,East,3,89.99
3133de49-050f-46b1-bfab-7d19160910f9,2024-09-21,Keyboard,East,3,79.99
60d61d4e-3a33-4316-ba3e-ab34eefb283b,2024-07-03,Monitor,East,4,349.99
90a887b8-6816-4186-8896-6b67a06df5b9,2024-11-12,Monitor,West,2,349.99
917fca3a-5697-44d8-b80d-33664430d2b0,2024-03-23,Headset,West,2,89.99
ba784494-a0a9-4663-bc75-465ab1e44c1e,2024-07-15,Laptop,East,1,999.99
7a79b411-ce38-4454-8919-f4bf0851c820,2024-08-15,Mouse,South,3,29.99
c02a149f-2981-4c95-b303-86ad2259574c,2024-12-19,Headset,South,1,89.99
613ca1dd-9b78-46c0-9efa-0eebc038e6a5,2024-09-15,Headset,North,4,89.99
23272643-defc-4fa1-bbd1-dfb7ac8c6d3c,2024-12-10,Monitor,East,1,349.99
02397963-b45b-45cf-90be-d58b842df48b,2024-09-13,Monitor,North,1,349.99
30709a31-9e61-4419-9378-8c645211103e,2024-04-20,Headset,South,2,89.99
6b6d11f9-1da6-463d-96ab-5f0ce16e4e2f,2024-09-03,Monitor,South,2,349.99
c3fdf36d-fdbf-4b96-a89b-de38ba657e31,2024-10-26,Laptop,West,3,999.99
3f8cbc87-e39e-4e7c-83b5-da1fcd61f473,2024-03-07,Keyboard,North,2,79.99
10b51df5-e148-4dca-88fd-a7645004c744,2024-11-29,Headset,West,1,89.99
419824eb-cd7c-477c-9765-268241b92b0e,2024-10-11,Mouse,South,2,29.99
522be2b9-5904-4e9a-bf43-c3e80bba789e,2024-10-26,Keyboard,North,3,79.99
